Row Labels,Basket,Bread,Cake,Chicken sand,Coffee,Coke,Cookies,Ella's Kitchen Pouches,Farm House,Focaccia,Frittata,Fudge,Hearty & Seasonal,Hot chocolate,Jam,Juice,Medialuna,Mighty Protein,Mineral water,Muffin,My-1 Fruit Shoot,NONE,Pastry,Pick and Mix Bowls,Sandwich,Scandinavian,Smoothies,Soup,Tartine,Tea,Victorian Sponge,
Pick and Mix Bowls,0.00,-0.03,-0.01,0.00,0.05,-0.01,0.20,0.00,-0.01,0.00,-0.01,-0.01,0.21,-0.01,-0.01,0.23,-0.01,0.00,-0.01,-0.02,0.00,-0.01,-0.02,1.00,-0.01,-0.01,0.71,-0.01,-0.01,0.10,-0.01,
Sandwich,-0.01,0.05,-0.01,0.00,-0.04,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.01,0.16,-0.01,-0.01,-0.01,-0.01,-0.01,0.23,0.09,0.00,-0.02,-0.02,-0.01,1.00,-0.02,0.00,-0.01,-0.01,0.07,-0.01,
Scandinavian,-0.01,-0.04,-0.03,0.25,-0.07,-0.02,-0.03,-0.01,-0.03,-0.01,0.08,0.08,-0.03,-0.02,-0.03,-0.03,0.04,-0.01,0.08,0.09,-0.01,0.08,-0.05,-0.01,-0.02,1.00,-0.01,-0.03,-0.02,-0.02,-0.02,
Smoothies,0.00,-0.02,-0.01,0.00,0.10,0.00,-0.01,0.00,-0.01,0.00,-0.01,-0.01,0.30,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.01,0.00,-0.01,-0.01,0.71,0.00,-0.01,1.00,-0.01,-0.01,-0.02,0.00,
Soup,-0.01,-0.06,-0.02,-0.01,0.01,0.18,-0.02,-0.01,-0.02,-0.01,-0.02,-0.02,0.29,0.14,-0.02,-0.02,-0.03,-0.01,-0.02,-0.04,-0.01,-0.03,-0.03,-0.01,-0.01,-0.03,-0.01,1.00,-0.02,0.18,0.16,
Tartine,-0.01,0.01,-0.02,-0.01,0.19,-0.01,-0.02,-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,0.11,0.12,-0.02,0.28,-0.01,0.05,-0.01,0.37,0.06,-0.01,-0.01,-0.02,-0.01,-0.02,1.00,0.17,-0.01,
Tea,-0.02,-0.03,0.02,0.16,0.11,-0.03,0.10,-0.02,0.10,0.16,0.10,0.03,0.05,0.04,0.06,0.01,-0.01,0.10,-0.04,0.05,-0.02,0.18,0.11,0.10,0.07,-0.02,-0.02,0.18,0.17,1.00,0.23,
Victorian Sponge,-0.01,0.10,-0.01,0.00,-0.05,-0.01,-0.02,-0.01,-0.02,0.00,-0.01,-0.01,-0.02,0.22,-0.01,-0.01,-0.02,-0.01,-0.01,-0.03,0.00,-0.02,-0.02,-0.01,-0.01,-0.02,0.00,0.16,-0.01,0.23,1.00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Findings: (pick and mix bowl & smoothies) = .71, (chicken sandwhich & frittata) = .41, (tartine & none)= .37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recommendation: Offer smoothie and mix bowl as an easy option. Also give price cut on chicken sandwhich with a frittata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
